tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt10039468,movie,My Stupid Boss 2,My Stupid Boss 2,0,2019.0,,96,"Adventure,Comedy"
tt10039636,tvEpisode,Into the Wild,Into the Wild,0,2018.0,,,"Animation,Comedy,Family"
tt10041316,tvEpisode,Dumbo,Dumbo,0,2019.0,,,Talk-Show
tt10042404,tvEpisode,Arrested Development,Arrested Development,0,2019.0,,,"Documentary,Short,Talk-Show"
tt10042470,tvEpisode,Lemonade Mouth,Lemonade Mouth,0,2018.0,,7,"Documentary,Short"
tt10043752,short,Feast,Feast,0,2019.0,,,Short
tt10044552,short,The Night Shift,The Night Shift,0,2019.0,,5,"Documentary,Short"
tt10044704,movie,Between Maybes,Between Maybes,0,2019.0,,107,"Drama,Romance"
tt10044952,tvSeries,You vs. Wild,You vs. Wild,0,2019.0,2019,20,"Adventure,Reality-TV"
tt10045632,short,Dismissed,Dismissed,0,2019.0,,13,"Drama,Mystery,Short"
tt10048342,tvMiniSeries,The Queen's Gambit,The Queen's Gambit,0,2020.0,2020,60,Drama
tt10048392,tvEpisode,Unfriended,Unfriended,0,2019.0,,41,Reality-TV
tt10048444,tvEpisode,Sergio,Sergio,0,2019.0,,,Reality-TV
tt10048556,movie,Staged Killer,Staged Killer,0,2019.0,,88,Thriller
tt10049610,tvSeries,Followers,Followers,0,2020.0,2020,40,"Drama,Romance"
tt10050752,tvSeries,Mighty Little Bheem,Mighty Little Bheem,0,2019.0,,6,"Adventure,Animation,Comedy"
tt10050766,movie,Brené Brown: The Call to Courage,Brené Brown: The Call to Courage,0,2019.0,,76,"Documentary,Drama"
tt10050772,tvSeries,I Think You Should Leave with Tim Robinson,I Think You Should Leave with Tim Robinson,0,2019.0,2023,16,Comedy
tt10050780,tvSpecial,Anthony Jeselnik: Fire in the Maternity Ward,Anthony Jeselnik: Fire in the Maternity Ward,0,2019.0,,64,Comedy
tt10050858,short,Sleeping Beauty,Sleeping Beauty,0,2019.0,,3,Short
tt10054266,tvEpisode,We Are Family,We Are Family,0,2018.0,,,Comedy
tt10054316,movie,Guest House,Guest House,0,2020.0,,84,Comedy
tt10055028,movie,Dolphin Reef,Dolphin Reef,0,2018.0,,77,"Documentary,Family"
