tconst,averageRating,numVotes
tt10308196,9.2,9
tt10309512,9.4,15
tt10311932,6.3,6094
tt10312882,7.8,88
tt10312958,6.5,385
tt10314544,6.8,41
tt10317458,5.7,7
tt10320050,7.0,8973
tt10322316,8.3,1520
tt10322334,8.6,1485
tt10324144,8.1,41131
tt10326928,5.3,8256
tt10327136,6.3,182
tt10327440,7.1,1029
tt10327794,7.3,13
tt10329028,7.2,4984
tt10329134,7.3,9596
tt10329642,7.6,4575
tt10329842,4.7,3680
tt10332010,8.9,10
tt10332256,7.6,4884
tt10332362,8.0,36
tt10332854,3.5,1271
tt10333032,7.6,3037
tt10334438,7.1,1697
tt10338186,7.9,253
tt10338308,6.3,996
tt10339932,8.1,26
tt10340828,6.9,38
tt10341040,4.7,1103
tt10346206,6.8,159
tt10348078,7.8,520
tt10348700,6.5,244
tt10350048,5.7,305
tt10350626,5.6,36209
tt10356572,8.2,43
tt10357596,6.8,120
tt10358668,5.9,49
tt10358798,8.0,36
tt10359446,8.2,5865
tt10359984,4.7,99
tt10360958,8.6,599
tt10361084,7.5,9
tt10362466,5.1,43606
tt10366542,7.2,172
tt10367990,6.5,1506
tt10370752,6.5,245
tt10370952,7.1,137
tt10370956,6.0,941
tt10370958,6.0,61
tt10374242,3.7,64
tt10374686,6.8,14
tt10376530,6.2,6
tt10376844,5.9,1083
tt10376904,6.3,1283
tt10376958,4.9,363
tt10377314,6.3,61
tt10379012,5.9,66
tt10380814,6.7,126
tt10381126,5.3,702
tt10383474,6.5,72
tt10383478,6.9,72
tt10383542,4.7,20
tt10383558,6.0,23
tt10384106,6.8,2880
tt10384246,5.2,310
tt10384610,8.4,6044
tt10389464,7.4,49
tt10390454,5.7,31
tt10392322,8.3,39
tt10392610,7.4,232
tt10394770,7.3,5528
tt10396934,7.8,25
tt10397734,4.2,174
tt10398066,9.0,10
tt10400110,7.6,9
tt10402510,3.6,29
tt10403078,6.7,6
tt10403090,7.6,883
tt10403158,7.4,52
tt10405022,5.0,499
tt10405394,8.1,2206
tt10406128,8.1,3952
tt10406826,3.8,303
tt10407902,7.0,82
tt10408304,8.3,166
tt10408834,6.2,16
tt10408920,7.2,30
tt10409208,8.1,19
tt10410150,8.1,820
tt10410186,5.2,133
tt10411380,6.5,8
tt10412332,5.4,12
tt10413458,7.2,125
tt10413702,8.4,50
tt10415212,6.5,25
tt10415306,6.7,10
tt10415388,7.8,101
tt10416682,4.3,9
tt10417338,6.4,93
tt10417518,8.0,7
tt10418662,4.9,28624
tt10422428,8.0,1607
tt10422622,8.9,16
tt10423460,7.4,5753
tt10429194,8.5,9
tt10431500,8.2,61667
tt10431882,7.8,24
tt10432050,6.1,115
tt10433430,8.6,31
tt10438256,5.2,28
tt10438648,6.8,2240
tt10438652,6.5,85
tt10438656,7.6,80
tt10438662,6.9,43
tt10441844,6.0,70
tt10445866,7.1,424
tt10449632,7.0,344
tt10451914,5.4,48063
tt10452206,7.7,13
tt10456740,6.4,16613
tt10457336,7.2,10
tt10461630,6.1,294
tt10461698,7.0,9
tt10464732,6.9,25
tt10467684,7.7,1585
tt10467768,8.0,16
tt10467774,7.4,22
tt10467838,6.1,14
tt10468636,6.7,2978
tt10468794,8.1,341
tt10470864,8.8,6
tt10472106,7.6,350
tt10472296,6.9,266
tt10473150,7.5,10069
tt10473544,7.9,298
tt10473548,7.7,261
tt10473562,6.9,251
tt10473572,7.7,224
tt10477074,6.1,289
tt10477528,7.6,7441
tt10477558,7.5,8360
tt10478636,7.3,9
tt10481818,7.9,24
tt10482560,8.3,8423
tt10483288,9.0,44
tt10483402,7.5,29
tt10483548,7.6,607
tt10487072,5.3,3300
tt10487934,5.4,12
tt10495134,8.3,25
tt10498484,7.4,15
tt10504966,6.2,1262
tt10505182,8.1,120
tt10506510,7.1,1270
tt10508182,4.8,189
tt10508838,6.2,5023
tt10513300,7.3,138
tt10514030,7.8,26
tt10514190,6.1,13
tt10514222,6.9,77021
tt10514532,3.5,426
tt10515086,8.0,11861
tt10515232,6.1,13
tt10515358,6.4,21
tt10515514,6.9,66
tt10515516,6.6,68
tt10516352,7.4,19538
tt10518996,6.6,14
tt10520926,6.6,33
tt10521162,6.2,42
tt10521638,6.5,2047
tt10521644,5.8,419
tt10522374,7.7,18
tt10522456,6.7,504
tt10523108,6.9,24
tt10524144,7.3,19
tt10524180,7.0,129
tt10525806,7.8,1688
tt10525820,7.7,1641
tt10529442,8.2,5395
tt10530176,7.1,51963
tt10530286,6.1,1741
tt10530392,5.3,949
tt10533320,7.6,127
tt10535340,6.6,26
tt10535814,6.8,6
tt10538136,5.2,16
tt10538348,6.5,107
tt10538776,7.3,9
tt10539608,5.7,93695
tt10540024,6.9,1037
tt10540242,4.8,2924
tt10540562,6.6,1330
tt10543680,5.7,5993
tt10544020,6.8,97
tt10548976,7.9,14
tt10549212,7.3,4507
tt10550778,8.6,39
tt10550856,9.3,7
tt10552274,4.8,7
tt10553838,6.6,76
tt10553864,7.1,7
tt10554898,8.7,15925
tt10555482,7.7,526
tt10558870,7.2,17
tt10560228,6.4,25
tt10562632,8.9,674
tt10563056,6.5,35
tt10563566,7.6,15
tt10564814,6.8,167
tt10566166,8.2,24
tt10570062,7.9,16
tt10570146,7.9,23
tt10572522,7.0,2061
tt10574830,9.7,9
tt10578786,8.7,167
tt10578800,8.4,75
tt10579324,7.5,50
tt10579408,7.6,74
tt10579690,6.3,20
tt10579704,5.9,17
tt10579952,7.4,90413
tt10579980,4.8,26
tt10583386,6.5,8
tt10583412,5.8,105
tt10584608,7.6,15700
tt10584810,7.2,57
tt10588592,8.5,23
tt10589914,6.2,3206
tt10589924,6.0,79
tt10589990,4.0,14
tt10593152,8.3,46
tt10594534,7.5,6
tt10594750,7.3,39
tt10600398,4.7,19289
tt10602832,9.0,8
tt10603260,8.3,65
tt10603284,8.5,12
tt10603372,6.4,158
tt10608506,7.6,77
tt10608732,8.0,83
tt10612508,7.3,999
tt10613002,6.0,1337
tt10613546,7.8,16
tt10613550,6.1,427
tt10613644,6.8,5
tt10614130,4.8,42
tt10615940,7.6,52
tt10619444,7.0,740
tt10619486,5.8,1627
tt10619724,5.2,18
tt10620868,6.3,54123
tt10622290,7.8,10
tt10622506,7.9,16
tt10623572,9.0,9
tt10626486,8.6,36
tt10627584,6.8,16340
tt10627720,7.3,21686
tt10628250,7.3,391
tt10637682,5.7,369
tt10638296,6.2,539
tt10640262,6.1,136
tt10641472,5.8,11
tt10642834,7.2,5767
tt10643918,6.2,608
tt10643938,6.9,651
tt10644346,6.4,103
tt10646038,8.1,25
tt10649016,6.8,5439
tt10650688,3.6,23
tt10651790,5.5,10068
tt10652036,8.4,10
tt10655506,6.6,2392
tt10655608,7.0,708
tt10659382,5.8,11
tt10659696,8.7,758
tt10662266,7.6,99
tt10662450,2.6,1917
tt10665234,5.5,167
tt10665710,8.2,12
tt10665736,6.0,16
tt10677432,6.7,1707
tt10681222,7.7,7602
tt10681414,7.8,6
tt10681670,6.7,1216
tt10681780,6.2,2623
tt10682266,5.3,67552
tt10684374,7.5,2346
tt10686488,8.3,40
tt10686814,7.4,876
tt10687134,5.9,484
tt10687170,5.7,189
tt10687184,7.1,130
tt10687266,8.0,297
tt10687464,8.5,268
tt10687564,6.7,689
tt10687642,6.5,939
tt10691162,5.3,19883
tt10691644,9.1,7
tt10695372,6.1,228
tt10695638,5.7,616
tt10696080,8.8,6
tt10696882,4.8,1471
tt10697634,7.4,167
tt10698174,5.1,13123
tt10698408,7.3,757
tt10699582,7.4,199
tt10702412,5.0,268
tt10703236,8.3,33
tt10704300,7.9,351
tt1070874,7.7,204073
tt10709060,6.1,23
tt10709232,6.3,2878
tt10712852,7.6,15
tt10714856,6.3,15013
tt10715148,6.4,4257
tt10715172,7.2,2135
tt10715194,5.3,1500
tt10715202,6.5,417
tt10716924,8.0,992
tt10717886,8.2,4597
tt10717918,7.5,3801
tt10719984,7.1,358
tt10720252,5.3,9
tt10724054,7.7,154
tt10726356,6.3,3057
tt1072748,5.5,39125
tt10728764,6.5,5222
tt10731748,5.2,3228
tt10731986,7.3,13
tt10732758,6.2,244
tt10732794,8.1,1880
tt10733754,7.7,222
tt10738824,8.6,1289
tt10738890,8.2,16
tt10738914,3.2,760
tt10741860,8.1,22
tt10750672,7.3,188
tt10751272,8.4,21
tt10753590,6.9,294
tt10757456,6.6,55
tt10761402,8.6,29
tt10761742,8.0,172
tt10763568,6.6,87
tt10763618,7.2,7292
tt10766764,7.3,19
tt10766766,7.4,18
tt10766934,7.6,36
tt10767574,7.0,65
tt10767720,5.3,4540
tt10767748,5.9,11289
tt10768172,6.6,761
tt10768194,5.4,1566
tt10768288,6.4,8
tt10771524,7.2,63
tt10771526,6.9,59
tt10771532,6.0,49
tt10771534,7.0,68
tt10772116,7.4,2311
tt10772140,7.5,2184
tt10772834,6.8,22
tt10772852,7.2,24
tt10773114,7.3,1776
tt10773606,4.9,53
tt10773680,6.9,219
tt10773782,6.7,39
tt10786870,8.2,669
tt10789774,6.1,26
tt10795658,7.8,143121
tt10795784,5.4,1056
tt10795870,6.7,15
tt10797718,6.2,14
tt10798660,5.3,267
tt10798934,6.7,444
tt10799448,5.2,11
tt10799940,6.7,47
tt10801368,7.5,9316
tt10804590,8.4,90
tt10804786,4.3,3611
tt10805432,6.6,4317
tt10805822,6.1,71
tt10808256,6.6,25
tt10808632,9.4,109
tt10810374,8.3,104
tt10810424,8.3,28938
tt10810430,7.9,6395
tt10811092,7.2,59
tt10813338,4.9,207
tt10814938,7.3,28
tt10816412,7.6,6
tt10816484,6.9,4547
tt10822320,4.7,80
tt10826064,7.8,3907
tt10826100,4.1,15
tt10831986,7.2,74
tt10833132,6.2,1067
tt10833270,5.4,2417
tt10837476,7.8,12069
tt10838398,7.7,278
tt10840740,7.8,23
tt10845262,7.5,2107
tt10845342,8.5,33
tt10847138,4.9,2237
tt10847194,6.9,1409
tt10847214,6.3,16
tt10847232,7.4,1307
tt10847306,8.0,13312
tt10847330,6.4,520
tt10848918,6.5,23
tt10850888,8.1,3124
tt10850932,8.7,56783
tt10851618,8.1,1939
tt10854760,7.3,652
tt10855726,8.0,185
tt10856726,6.3,5877
tt10856734,7.3,43
tt10857210,5.9,1494
tt10857582,7.1,218
tt10858962,7.6,31
tt10863594,7.4,245
tt10864040,6.7,505
tt10869008,6.4,7
tt10869474,5.9,1288
tt10869972,9.5,7
tt10870036,6.4,14
tt10870256,8.4,15
tt10871460,5.6,709
tt10875696,7.3,21708
tt10878940,7.6,13
tt10879344,8.0,89
tt10879362,8.6,76
tt10879376,8.4,64
tt10880900,8.8,33
tt10882188,6.6,97
tt10883004,6.7,8753
tt10883162,7.8,45
tt10883506,7.6,11376
tt10886166,3.3,107488
tt10886636,6.3,23
tt10886862,8.2,10
tt10887282,6.5,62
tt10888456,5.8,219
tt10888708,5.7,13257
tt10888876,7.3,13283
tt10891012,7.4,473
tt10893480,9.4,11
tt10893924,6.8,30
tt10895516,6.8,6
tt10895588,5.7,474
tt10895604,5.2,141
tt10895610,6.9,11
tt10896172,6.1,549
tt10896654,8.0,39
tt10902146,6.7,70
tt10904418,5.5,292
tt10905832,7.2,15
tt10907798,6.4,423
tt10907940,7.5,16
tt10910516,5.9,20
tt10911880,7.5,21
tt10912990,5.3,69
tt10913246,6.4,8
tt10913918,9.0,8
tt10914452,4.8,5185
tt10914712,6.4,952
tt10915060,6.7,4862
tt10915286,7.6,19554
tt10915596,9.0,60
tt10915604,8.6,46
tt10915618,7.5,46
tt10916122,5.6,742
tt10917252,8.3,8
tt10919078,8.1,229
tt10919084,8.2,232
tt10919362,6.4,1102
